model,vectorization,tokenization,outlier,accuracy,f1_macro,f1_weighted
logistic,count,char,without_outliers,0.510 ± 0.004,0.507 ± 0.003,0.508 ± 0.003
logistic,count,char,with_outliers,0.508 ± 0.002,0.507 ± 0.003,0.507 ± 0.003
logistic,count,syllable,without_outliers,0.510 ± 0.006,0.505 ± 0.006,0.506 ± 0.006
logistic,count,syllable,with_outliers,0.509 ± 0.004,0.505 ± 0.004,0.505 ± 0.004
logistic,count,word,without_outliers,0.518 ± 0.006,0.515 ± 0.005,0.516 ± 0.005
logistic,count,word,with_outliers,0.516 ± 0.003,0.514 ± 0.003,0.514 ± 0.003
logistic,tfidf,char,without_outliers,0.546 ± 0.006,0.541 ± 0.006,0.542 ± 0.006
logistic,tfidf,char,with_outliers,0.545 ± 0.001,0.541 ± 0.001,0.541 ± 0.001
logistic,tfidf,syllable,without_outliers,0.522 ± 0.006,0.517 ± 0.006,0.517 ± 0.006
logistic,tfidf,syllable,with_outliers,0.522 ± 0.004,0.517 ± 0.004,0.517 ± 0.004
logistic,tfidf,word,without_outliers,0.541 ± 0.004,0.538 ± 0.003,0.538 ± 0.003
logistic,tfidf,word,with_outliers,0.541 ± 0.003,0.539 ± 0.003,0.539 ± 0.003
knn,count,char,without_outliers,0.423 ± 0.004,0.419 ± 0.004,0.420 ± 0.004
knn,count,char,with_outliers,0.421 ± 0.003,0.419 ± 0.003,0.419 ± 0.003
knn,count,syllable,without_outliers,0.392 ± 0.005,0.392 ± 0.005,0.393 ± 0.005
knn,count,syllable,with_outliers,0.396 ± 0.005,0.397 ± 0.005,0.397 ± 0.005
knn,count,word,without_outliers,0.372 ± 0.004,0.366 ± 0.004,0.367 ± 0.004
knn,count,word,with_outliers,0.376 ± 0.003,0.372 ± 0.002,0.372 ± 0.002
knn,tfidf,char,without_outliers,0.274 ± 0.003,0.262 ± 0.003,0.263 ± 0.003
knn,tfidf,char,with_outliers,0.284 ± 0.004,0.280 ± 0.004,0.280 ± 0.004
knn,tfidf,syllable,without_outliers,0.298 ± 0.003,0.290 ± 0.003,0.291 ± 0.003
knn,tfidf,syllable,with_outliers,0.313 ± 0.003,0.310 ± 0.002,0.310 ± 0.002
knn,tfidf,word,without_outliers,0.274 ± 0.001,0.267 ± 0.001,0.268 ± 0.001
knn,tfidf,word,with_outliers,0.276 ± 0.003,0.269 ± 0.003,0.269 ± 0.003
svm,count,char,without_outliers,0.300 ± 0.010,0.266 ± 0.016,0.266 ± 0.016
svm,count,char,with_outliers,0.291 ± 0.019,0.252 ± 0.030,0.252 ± 0.030
svm,count,syllable,without_outliers,0.286 ± 0.010,0.247 ± 0.015,0.248 ± 0.015
svm,count,syllable,with_outliers,0.276 ± 0.007,0.239 ± 0.012,0.239 ± 0.012
svm,count,word,without_outliers,0.323 ± 0.010,0.297 ± 0.007,0.297 ± 0.007
svm,count,word,with_outliers,0.312 ± 0.013,0.287 ± 0.016,0.287 ± 0.016
svm,tfidf,char,without_outliers,0.394 ± 0.014,0.393 ± 0.017,0.393 ± 0.017
svm,tfidf,char,with_outliers,0.384 ± 0.008,0.383 ± 0.007,0.383 ± 0.007
svm,tfidf,syllable,without_outliers,0.361 ± 0.007,0.356 ± 0.005,0.356 ± 0.005
svm,tfidf,syllable,with_outliers,0.349 ± 0.016,0.340 ± 0.019,0.340 ± 0.019
svm,tfidf,word,without_outliers,0.403 ± 0.007,0.392 ± 0.010,0.392 ± 0.010
svm,tfidf,word,with_outliers,0.386 ± 0.010,0.378 ± 0.009,0.378 ± 0.009
